CASRN,TRI Chemical Name for Listed Per- and Polyfluoroalkyl Substances (PFAS),Chemical Structure,De Minimis,MPOU Thresholds (lbs)
70225-15-9,"1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-, compd. with 2,2'-iminobis[ethanol] (1:1)",,1.0,100
60270-55-5,"1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-, potassium salt",,1.0,100
335-71-7,"1-Heptanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-",,1.0,100
65510-55-6,"Hexadecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14-nonacosafluoro-16-iodo-",,1.0,100
60699-51-6,"1-Hexadecanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16-nonacosafluoro-",,1.0,100
13252-13-6,Hexafluoropropylene oxide dimer acid,,1.0,100
62037-80-3,Hexafluoropropylene oxide dimer acid ammonium salt,,1.0,100
135228-60-3,"Hexane, 1,6-diisocyanato-, homopolymer, γ-ω-perfluoro-C6-20-alc.-blocked",Polymer with variable structure,1.0,100
68555-75-9,"1-Hexanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N-(2-hydroxyethyl)-N-methyl-",,1.0,100
68259-08-5,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, ammonium salt",,1.0,100
3871-99-6,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, potassium salt",,1.0,100
70225-16-0,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, compd. with 2,2'-iminobis[ethanol] (1:1)",,1.0,100
29457-72-5,Lithium (perfluorooctane)sulfonate,,1.0,100
376-27-2,Methyl perfluorooctanoate,,1.0,100
17202-41-4,"1-Nonanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-nonadecafluoro-, ammonium salt",,1.0,100
16517-11-6,"Octadecanoic acid, pentatriacontafluoro-",,1.0,100
65104-67-8,"1-Octadecanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,18-tritriacontafluoro-",,1.0,100
31506-32-8,"1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-methyl-",,1.0,100
24448-09-7,"1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-N-methyl-",,1.0,100
132831,"1-Octanesulfonamide, N-butyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-",,1.0,100
61660-12-6,"1-Octanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-[3-(trimethoxysilyl)propyl]-",,1.0,100
178094-69-4,"1-Octanesulfonamide, N-[3-(dimethyloxidoamino)propyl]-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-, potassium salt",,1.0,100
67969-69-1,"1-Octanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-[2-(phosphonooxy)ethyl]-, diammonium salt",,1.0,100
29081-56-9,"1-Octanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-, ammonium salt",,1.0,100
70225-14-8,"1-Octanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-, compd. with 2,2'-iminobis[ethanol] (1:1)",,1.0,100
335-66-0,"Octanoyl fluoride, pentadecafluoro-",,1.0,100
68555-74-8,"1-Pentanesulfonamide, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-N-(2-hydroxyethyl)-N-methyl-",,1.0,100
3872-25-1,"1-Pentanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-, potassium salt",,1.0,100
68259-09-6,"1-Pentanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-, ammonium salt",,1.0,100
70225-17-1,"1-Pentanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-, compd. with 2,2'-iminobis[ethanol] (1:1)",,1.0,100
71608-60-1,"Pentanoic acid, 4,4-bis[(γ-ω-perfluoro-C8-20-alkyl)thio] derivs.",Derivatives of unspecfied structure,1.0,100
335-76-2,Perfluorodecanoic acid,,1.0,100
307-55-1,Perfluorododecanoic acid,,1.0,100
355-46-4,Perfluorohexanesulfonic acid,,1.0,100
375-95-1,Perfluorononanoic acid,,1.0,100
1763-23-1,Perfluorooctane sulfonic acid,,1.0,100
335-67-1,Perfluorooctanoic acid,,0.1,100
21652-58-4,Perfluorooctyl Ethylene,,1.0,100
307-35-7,Perfluorooctylsulfonyl fluoride,,1.0,100
67905-19-5,Perfluoropalmitic acid,,1.0,100
376-06-7,Perfluorotetradecanoic acid,,1.0,100
68412-69-1,"Phosphinic acid, bis(perfluoro-C6-12-alkyl) derivs.",,1.0,100
68412-68-0,"Phosphonic acid, perfluoro-C6-12-alkyl derivs.",,1.0,100
74499-44-8,"Phosphoric acid, γ-ω-perfluoro-C8-16-alkyl esters, compds. with diethanolamine",,1.0,100
123171-68-6,"Poly(difluoromethylene), α-[2-(acetyloxy)-3-[(carboxymethyl)dimethylammonio]propyl]-ω-fluoro-, inner salt",,1.0,100
65530-83-8,"Poly(difluoromethylene), α-[2-[(2-carboxyethyl)thio]ethyl]-ω-fluoro-",,1.0,100
65530-69-0,"Poly(difluoromethylene), α-[2-[(2-carboxyethyl)thio]ethyl]-ω-fluoro-, lithium salt",,1.0,100
65605-56-3,"Poly(difluoromethylene), α-fluoro-ω-(2-hydroxyethyl)-, dihydrogen 2-hydroxy-1,2,3-propanetricarboxylate",,1.0,100
65605-57-4,"Poly(difluoromethylene), α-fluoro-ω-(2-hydroxyethyl)-, hydrogen 2-hydroxy-1,2,3-propanetricarboxylate",,1.0,100
65530-59-8,"Poly(difluoromethylene), α-fluoro-ω-(2-hydroxyethyl)-, 2-hydroxy-1,2,3-propanetricarboxylate (3:1)",,1.0,100
65530-66-7,"Poly(difluoromethylene), α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl]-",,1.0,100
65605-73-4,"Poly(difluoromethylene), α-fluoro-ω-[2-[(1-oxo-2-propenyl)oxy]ethyl]-, homopolymer",,1.0,100
65530-65-6,"Poly(difluoromethylene), α-fluoro-ω-[2-[(1-oxooctadecyl)oxy]ethyl]-",,1.0,100
65530-61-2,"Poly(difluoromethylene), α-fluoro-ω-[2-(phosphonooxy)ethyl]-",,1.0,100
95144-12-0,"Poly(difluoromethylene), α-fluoro-ω-[2-(phosphonooxy)ethyl]-, ammonium salt",,1.0,100
65530-72-5,"Poly(difluoromethylene), α-fluoro-ω-[2-(phosphonooxy)ethyl]-, diammonium salt",,1.0,100
65530-71-4,"Poly(difluoromethylene), α-fluoro-ω-[2-(phosphonooxy)ethyl]-, monoammonium salt",,1.0,100
80010-37-3,"Poly(difluoromethylene), α-fluoro-ω-[2-sulphoethyl)-",,1.0,100
65530-62-3,"Poly(difluoromethylene), α,α'-[phosphinicobis(oxy-2,1-ethanediyl)]bis[ω-fluoro-",,1.0,100
65530-70-3,"Poly(difluoromethylene), α,α'-[phosphinicobis(oxy-2,1-ethanediyl)]bis[ω-fluoro-, ammonium salt",,1.0,100
56372-23-7,"Poly(oxy-1,2-ethanediyl), α-[2-[ethyl[(tridecafluorohexyl)sulfonyl]amino]ethyl]-ω-hydroxy-",,1.0,100
29117-08-6,"Poly(oxy-1,2-ethanediyl), α-[2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl]-ω-hydroxy-",,1.0,100
68958-60-1,"Poly(oxy-1,2-ethanediyl), α-[2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl]-ω-methoxy-",,1.0,100
68958-61-2,"Poly(oxy-1,2-ethanediyl), α-[2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl]-ω-methoxy-",,1.0,100
68298-80-6,"Poly(oxy-1,2-ethanediyl), α-[2-[ethyl[(undecafluoropentyl)sulfonyl]amino]ethyl]-ω-hydroxy-",,1.0,100
68298-81-7,"Poly(oxy-1,2-ethanediyl), α-[2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl]-ω-hydroxy-",,1.0,100
65545-80-4,"Poly(oxy-1,2-ethanediyl), α-hydro-ω-hydroxy-, ether with α-fluoro-ω-(2-hydroxyethyl)poly(difluoromethylene) (1:1)",Mixture of unspecified structure,1.0,100
70983-59-4,"Poly(oxy-1,2-ethanediyl), α-methyl-ω-hydroxy-, 2-hydroxy-3-[(γ-ω-perfluoro-C6-20-alkyl)thio]propyl ethers",,1.0,100
37338-48-0,"Poly[oxy(methyl-1,2-ethanediyl)], α-[2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl]-ω-hydroxy-",,1.0,100
68259-39-2,"Poly[oxy(methyl-1,2-ethanediyl)], α-[2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl]-ω-hydroxy-",,1.0,100
68259-38-1,"Poly[oxy(methyl-1,2-ethanediyl)], α-[2-[ethyl[(tridecafluorohexyl)sulfonyl]amino]ethyl]-ω-hydroxy-",,1.0,100
68310-17-8,"Poly[oxy(methyl-1,2-ethanediyl)], α-[2-[ethyl[(undecafluoropentyl)sulfonyl]amino]ethyl]-ω-hydroxy-",,1.0,100
2795-39-3,Potassium perfluorooctanesulfonate,,1.0,100
1078715-61-3,"1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-[2-[(γ-ω-perfluoro-C4-20-alkyl)thio]acetyl] derivs., inner salts",Derivatives of unspecified structure,1.0,100
38006-74-5,"1-Propanaminium, 3-[[(heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-, chloride",,1.0,100
70983-60-7,"1-Propanaminium, 2-hydroxy-N,N,N-trimethyl-, 3-[(γ-ω-perfluoro-C6-20-alkyl)thio] derivs., chlorides",Derivatives of unspecified structure,1.0,100
52166-82-2,"1-Propanaminium, N,N,N-trimethyl-3-[[(tridecafluorohexyl)sulfonyl]amino]-, chloride",,1.0,100
67584-58-1,"1-Propanaminium, N,N,N-trimethyl-3-[[(pentadecafluoroheptyl)sulfonyl]amino]-, iodide",,1.0,100
68555-81-7,"1-Propanaminium, N,N,N-trimethyl-3-[[(pentadecafluoroheptyl)sulfonyl]amino]-, chloride",,1.0,100
68957-58-4,"1-Propanaminium, N,N,N-trimethyl-3-[[(tridecafluorohexyl)sulfonyl]amino]-, iodide",,1.0,100
68957-55-1,"1-Propanaminium, N,N,N-trimethyl-3-[[(undecafluoropentyl)sulfonyl]amino]-, chloride",,1.0,100
68957-57-3,"1-Propanaminium, N,N,N-trimethyl-3-[[(undecafluoropentyl)sulfonyl]amino]-, iodide",,1.0,100
238420-80-9,"Propanedioic acid, mono(γ-ω-perfluoro-C8-12-alkyl) derivs., bis[4-(ethenyloxy)butyl] esters",Derivatives of unspecified structures,1.0,100
238420-68-3,"Propanedioic acid, mono(γ-ω-perfluoro-C8-12-alkyl) derivs., di-me esters",Derivatives of unspefied structures,1.0,100
148240-89-5,"1,3-Propanediol, 2,2-bis[[(γ-ω-perfluoro-C10-20-alkyl)thio]methyl] derivs., phosphates, ammonium salts",Derivatives of unspecified structures,1.0,100
148240-85-1,"1,3-Propanediol, 2,2-bis[[(γ-ω-perfluoro-C4-10-alkyl)thio]methyl] derivs., phosphates, ammonium salts",Derivatives of unspecified structures,1.0,100
148240-87-3,"1,3-Propanediol, 2,2-bis[[(γ-ω-perfluoro-C6-12-alkyl)thio]methyl] derivs., phosphates, ammonium salts",Derivatives of unspecified structures,1.0,100
1078142-10-5,"1,3-Propanediol, 2,2-bis[[(γ-ω-perfluoro-C6-12-alkyl)thio]methyl] derivs., polymers with 2,2-bis[[(γ-ω-perfluoro-C10-20-alkyl)thio]methyl]-1,3-propanediol, 1,6-diisocyanato-2,2,4(or 2,4,4)-trimethylhexane, 2-heptyl-3,4-bis(9-isocyanatononyl)-1-pentylcyclohexane and 2,2'-(methylimino)bis[ethanol]",Derivatives of unspecified structures,1.0,100
68187-47-3,"1-Propanesulfonic acid, 2-methyl-, 2-[[1-oxo-3-[(γ-ω-perfluoro-C4-16-alkyl)thio]propyl]amino] derivs., sodium salts",Derivatives of unspecified structures,1.0,100
68227-96-3,"2-Propenoic acid, butyl ester, telomer with 2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethyl 2-propenoate, 2-[methyl[(nonafluorobutyl)sulfonyl]amino]ethyl 2-propenoate, α-(2- methyl-1-oxo-2-propenyl)-ω-hydroxypoly(oxy-1,4-butanediyl), α-(2- methyl-1-oxo-2-propenyl)-ω-[(2-methyl-1-oxo-2- propenyl)oxy]poly(oxy-1,4-butanediyl), 2-[methyl [(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(tridecafluorohexyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(undecafluoropentyl)sulfonyl]amino]ethyl 2-propenoate and 1-octanethiol",Telomer of unspecified structure,1.0,100
68298-62-4,"2-Propenoic acid, 2-[butyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl ester, telomer with 2-[butyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-propenoate, methyloxirane polymer with oxirane di-2-propenoate,
methyloxirane polymer with oxirane mono-2-propenoate and 1-octanethiol",Telomer/polymer of variable structure,1.0,100
65605-58-5,"2-Propenoic acid, esters, 2-methyl-, dodecyl ester, polymer with α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propen-1-yl)oxy]ethyl]poly(difluoromethylene)",Polymer with variable structure,1.0,100
59071-10-2,"2-Propenoic acid, 2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl ester",,1.0,100
68867-60-7,"2-Propenoic acid, 2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethyl ester, polymer with 2-[methyl [(nonafluorobutyl)sulfonyl]amino]ethyl 2- propenoate, 2-[methyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-
propenoate, 2-[methyl[(tridecafluorohexyl)sulfonyl]amino]ethyl 2-
propenoate, 2-[methyl[(undecafluoropentyl)sulfonyl]amino]ethyl 2-propenoate and α-(1-oxo-2-propenyl)-ω-methoxypoly(oxy-1,2-ethanediyl)",Polymer with variable structure,1.0,100
150135-57-2,"2-Propenoic acid, 2-methyl-, 2-(dimethylamino)ethyl ester, polymers with Bu acrylate, γ-ω-perfluoro-C8-14-alkyl acrylate and polyethylene glycol monomethacrylate, 2,2'-azobis[2,4-dimethylpentanenitrile]-initiated",Polymer with variable structure,1.0,100
196316-34-4,"2-Propenoic acid, 2-methyl-, 2-(dimethylamino)ethyl ester, polymers with γ-ω-perfluoro-C10-16-alkyl acrylate and vinyl acetate, acetates",Polymer with variable structure,1.0,100
65605-59-6,"2-Propenoic acid, 2-methyl-, dodecyl ester, polymer with α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propen-1-yl)oxy]ethyl]poly(difluoromethylene) and N-(hydroxymethyl)-2-propenamide",Polymer with variable structure,1.0,100
68239-43-0,"2-Propenoic acid, 2-methyl-, 2-ethylhexyl ester, polymer with α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propen-1-yl)oxy]ethyl]poly(difluoromethylene), 2-hydroxyethyl 2-methyl-2-propenoate and N-(hydroxymethyl)-2-propenamide",Polymer with variable structure,1.0,100
68555-91-9,"2-Propenoic acid, 2-methyl-, 2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl ester, polymer with 2-[ethyl[(nonafluorobutyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate, 2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate, 2-[ethyl[(tridecafluorohexyl)sulfonyl]amino]ethyl 2-methyl-
2-propenoate, 2-[ethyl[(undecafluoropentyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate and octadecyl 2-methyl-2-propenoate",Polymer with variable structure,1.0,100
2144-54-9,"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl ester",,1.0,100
1996-88-9,"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl ester",,1.0,100
4980-53-4,"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16-
nonacosafluorohexadecyl ester",,1.0,100
142636-88-2,"2-Propenoic acid, 2-methyl-, octadecyl ester, polymer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl 2-propenoate, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl 2-propenoate and 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl 2-propenoate",Polymer with variable structure,1.0,100
68084-62-8,"2-Propenoic acid, 2-[methyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl ester",,1.0,100
6014-75-1,"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl ester",,1.0,100
200513-42-4,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-methyl-2-propenoate, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl 2-propenoate, 2-hydroxyethyl 2-methyl-2-propenoate and methyl 2-methyl-2-propenoate",Polymer with variable structure,1.0,100
67584-57-0,"2-Propenoic acid, 2-[methyl[(tridecafluorohexyl)sulfonyl]amino]ethyl ester",,1.0,100
67584-56-9,"2-Propenoic acid, 2-[methyl[(undecafluoropentyl)sulfonyl]amino]ethyl ester",,1.0,100
61798-68-3,"Pyridinium, 1-(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)-, salt with 4-methylbenzenesulfonic acid (1:1)",,1.0,100
83048-65-1,"Silane, (3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)trimethoxy-",,1.0,100
78560-44-8,"Silane, trichloro(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)-",,1.0,100
125476-71-3,"Silicic acid (H4SiO4), disodium salt, reaction products with chlorotrimethylsilane and 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-
heptadecafluoro-1-decanol",Reaction products unspecifed structure,1.0,100
143372-54-7,"Siloxanes and Silicones, (3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)oxy Me, hydroxy Me, Me octyl, ethers with polyethylene glycol mono-Me ether",Mixture of unspecified structures,1.0,100
335-95-5,Sodium perfluorooctanoate,,1.0,100
4151-50-2,Sulfluramid,,1.0,100
180582-79-0,"Sulfonic acids, C6-12-alkane, γ-ω-perfluoro, ammonium salts",,1.0,100
30046-31-2,"Tetradecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12-pentacosafluoro-14-iodo-",,1.0,100
68758-57-6,"1-Tetradecanesulfonyl chloride, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluoro-",,1.0,100
39239-77-5,"1-Tetradecanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluoro-",,1.0,100
27905-45-9,"1,1,2,2-Tetrahydroperfluorodecyl acrylate",,1.0,100
17741-60-5,"1,1,2,2-Tetrahydroperfluorododecyl acrylate",,1.0,100
34362-49-7,"1,1,2,2-Tetrahydroperfluorohexadecyl acrylate",,1.0,100
34395-24-9,"1,1,2,2-Tetrahydroperfluorotetradecyl acrylate",,1.0,100
97553-95-2,"Thiocyanic acid, γ-ω-perfluoro-C4-20-alkyl esters",,1.0,100
68140-18-1,"Thiols, C4-10, γ-ω-perfluoro",,1.0,100
1078712-88-5,"Thiols, C4-20, γ-ω-perfluoro, telomers with acrylamide and acrylic acid, sodium salts",Telomer with variable structure,1.0,100
68140-20-5,"Thiols, C6-12, γ-ω-perfluoro",,1.0,100
70969-47-0,"Thiols, C8-20, γ-ω-perfluoro, telomers with acrylamide",Telomer mixture of variable structure,1.0,100
68140-21-6,"Thiols, C10-20, γ-ω-perfluoro",,1.0,100
